Warning : License for product VCSRuntime_Net(725) will expire within 29 days, on: 23-nov-2022.

If you would like to temporarily disable this message, set 
 the VCS_LIC_EXPIRE_WARNING environment variable to the number of days
before expiration that you want this message to start (the minimum is 0).
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version Q-2020.03-SP2_Full64; Runtime version Q-2020.03-SP2_Full64;  Oct 26 17:01 2022
Preloading hehe_tb.magicmemory from isa/build/hex/rv64ui/add.hex
VCD+ Writer Q-2020.03-SP2_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202003.so
FSDB Dumper for VCS, Release Verdi_Q-2020.03-SP2, Linux x86_64/64bit, 08/31/2020
(C) 1996 - 2020 by Synopsys, Inc.
*Verdi* : Create FSDB file './logs/waves.fsdb'
*Verdi* : Begin traversing the scope (hehe_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +struct dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +mda dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
*Verdi* : fsdbDumpon - All FSDB files at 0 ps.
 fe5212e3 800003d0 
 00e00093 800003b4 
 00e00093 800003b4 
 01900393 800003d4 
 2a731663 800003d8 
 01600193 800003dc 
 00000213 800003e0 
 00f00093 800003e4 
 00b00113 800003e8 
 00208733 800003ec 
 00000013 800003f0 
 00000013 800003f4 
 00070313 800003f8 
 00120213 800003fc 
 00200293 80000400 
 fe5210e3 80000404 
 00f00093 800003e4 
 00b00113 800003e8 
 00208733 800003ec 
 00000013 800003f0 
 00000013 800003f4 
 00070313 800003f8 
 00120213 800003fc 
 00200293 80000400 
 fe5210e3 80000404 
 01a00393 80000408 
 01a00393 80000408 
 01a00393 80000408 
 26731c63 8000040c 
 01700193 80000410 
 00000213 80000414 
 00d00093 80000418 
 00b00113 8000041c 
 00208733 80000420 
 00120213 80000424 
 00200293 80000428 
 fe5216e3 8000042c 
 00d00093 80000418 
 00b00113 8000041c 
 00208733 80000420 
 00120213 80000424 
 00200293 80000428 
 fe5216e3 8000042c 
 01800393 80000430 
 01800393 80000430 
 01800393 80000430 
 24771863 80000434 
 01800193 80000438 
 00000213 8000043c 
 00e00093 80000440 
 00b00113 80000444 
 00000013 80000448 
 00208733 8000044c 
 00120213 80000450 
 00200293 80000454 
 fe5214e3 80000458 
 00e00093 80000440 
 00b00113 80000444 
 00000013 80000448 
 00208733 8000044c 
 00120213 80000450 
 00200293 80000454 
 fe5214e3 80000458 
 00e00093 80000440 
 00e00093 80000440 
 01900393 8000045c 
 22771263 80000460 
 01900193 80000464 
 00000213 80000468 
 00f00093 8000046c 
 00b00113 80000470 
 00000013 80000474 
